Sno,Gender,10th %,SSC Board,12th %,HSC Board,12th Stream,Degree %,Degree stream,Mba %,status
1,M,67,Others,91,Others,Commerce,58,Sci&Tech,58.8,Placed
2,M,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,66.28,Placed
3,M,65,Central,68,Central,Arts,64,Comm&Mgmt,57.8,Placed
4,M,,Central,52,Central,Science,52,Sci&Tech,59.43,Not Placed
5,M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,55.5,Placed
6,M,55,Others,49.8,Others,Science,67.25,Sci&Tech,51.58,Not Placed
7,F,46,Others,49.2,Others,Commerce,79,Comm&Mgmt,53.29,Not Placed
8,M,82,Central,64,Central,Science,66,Sci&Tech,62.14,Placed
9,M,,Central,79,Central,Commerce,,Comm&Mgmt,,Placed
10,M,58,Central,70,Central,Commerce,61,Comm&Mgmt,52.21,Not Placed
11,M,58,Central,61,Central,Commerce,60,Comm&Mgmt,60.85,Placed
12,M,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,63.7,Placed
13,F,47,Central,55,Others,Science,65,Comm&Mgmt,65.04,Not Placed
14,F,77,Central,87,Central,Commerce,59,Comm&Mgmt,68.63,Placed
15,M,62,Central,47,Central,Commerce,50,Comm&Mgmt,54.96,Not Placed
16,F,65,Central,75,Central,Commerce,69,Comm&Mgmt,64.66,Placed
17,M,63,Central,66.2,Central,Commerce,,Comm&Mgmt,62.54,Placed
18,F,55,Central,67,Central,Commerce,64,Comm&Mgmt,67.28,Not Placed
19,F,63,Central,66,Central,Commerce,64,Comm&Mgmt,64.08,Not Placed
20,M,60,Others,,Others,Arts,70,Comm&Mgmt,77.89,Placed
21,M,62,Others,65,Others,Commerce,66,Comm&Mgmt,56.7,Placed
22,F,79,Others,76,Others,Commerce,85,Comm&Mgmt,69.06,Placed
23,F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,68.81,Placed
24,F,77.4,Others,60,Others,Science,,Sci&Tech,,Placed
25,M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,74.01,Placed
26,F,,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,,Not Placed
27,M,71,Others,79,Others,Commerce,66,Comm&Mgmt,57.55,Placed
28,M,63,Others,67,Others,Commerce,66,Comm&Mgmt,57.69,Placed
29,M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,64.15,Placed
30,M,62,Central,67,Central,Commerce,58,Comm&Mgmt,51.29,Not Placed
31,F,64,Central,,Central,Commerce,73,Comm&Mgmt,56.7,Placed
32,F,67,Central,53,Central,Science,65,Sci&Tech,,Not Placed
33,F,61,Central,81,Central,Commerce,66.4,Comm&Mgmt,62.21,Placed
34,F,87,Others,65,Others,Science,81,Comm&Mgmt,72.78,Placed
35,M,62,Others,51,Others,Science,52,Others,62.77,Not Placed
36,F,69,Central,78,Central,Commerce,72,Comm&Mgmt,62.74,Placed
37,M,,Central,44,Central,Commerce,57,Comm&Mgmt,51.45,Not Placed
38,F,79,Central,76,Central,Science,65.6,Sci&Tech,55.47,Placed
39,F,73,Others,58,Others,Science,66,Comm&Mgmt,,Placed
40,M,,Others,68,Others,Science,64,Sci&Tech,62.56,Placed
41,F,78,Central,77,Others,Commerce,80,Comm&Mgmt,66.72,Placed
42,F,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,69.76,Not Placed
43,M,49,Others,39,Central,Science,65,Others,51.21,Not Placed
44,M,87,Others,87,Others,Commerce,68,Comm&Mgmt,62.9,Placed
45,F,,Others,73,Others,Commerce,81,Comm&Mgmt,69.7,Placed
46,F,76,Central,64,Central,Science,72,Sci&Tech,66.53,Not Placed
47,F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,71.63,Not Placed
48,M,63,Central,60,Central,Commerce,57,Comm&Mgmt,54.55,Placed
49,M,63,Others,62,Others,Commerce,,Comm&Mgmt,62.46,Placed
50,F,50,Others,37,Others,Arts,52,Others,56.11,Not Placed
51,F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,62.98,Placed
52,M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,62.65,Not Placed
53,F,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,65.49,Not Placed
54,M,80,Others,70,Others,Science,72,Sci&Tech,71.04,Placed
55,F,74,Central,60,Others,Science,69,Comm&Mgmt,65.56,Placed
56,M,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,52.71,Placed
57,M,63,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,66.88,Placed
58,M,68,Central,76,Central,Commerce,74,Comm&Mgmt,63.59,Placed
59,M,74,Central,62,Others,Science,68,Comm&Mgmt,57.99,Placed
